MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
BRK.B
LLY
AVGO
TSLA
JPM
V
WMT
XOM
UNH
MA
PG
JNJ
HD
COST
ORCL
MRK
CVX
BAC
ABBV
KO
CRM
NFLX
AMD
PEP
ADBE
TMO
DIS
WFC
LIN
QCOM
MCD
ACN
CSCO
TMUS
GE
ABT
DHR
INTU
AMAT
AXP
CAT
VZ
TXN
AMGN
PFE
IBM
MS
CMCSA
PM
NOW
UBER
BX
NEE
UNP
COP
GS
NKE
SCHW
ISRG
RTX
SPGI
MU
LOW
INTC
ETN
HON
PGR
UPS
SYK
ELV
BKNG
T
LRCX
C
BLK
DE
LMT
TJX
BA
MDT
BSX
ABNB
VRTX
REGN
CB
ADI
ADP
MMC
CI
PANW
PLD
KLAC
MDLZ
BMY
FI
CMG
ANET
WM
AMT
SNPS
SBUX
SO
GILD
HCA
GD
SHW
CDNS
DUK
CL
ZTS
EOG
APH
CME
MO
TT
ICE
TGT
ITW
FCX
TDG
MCO
PH
CVS
MCK
CTAS
NOC
PYPL
SLB
BDX
MAR
NXPI
CSX
EQIX
ECL
USB
MPC
FDX
CEG
PNC
AON
PSX
EMR
ORLY
RSG
MSI
WELL
CARR
OXY
MNST
ROP
PCAR
APD
COF
CPRT
MMM
AJG
AIG
TFC
NSC
VLO
DXCM
GM
AZO
EW
MCHP
MET
HLT
DHI
TRV
HES
AFL
F
SMCI
O
NEM
WMB
PSA
STZ
SPG
AEP
MRNA
EL
GEV
ADSK
GWW
SRE
KMB
OKE
URI
KDP
DLR
FTNT
ALL
COR
ROST
LEN
AMP
TEL
PAYX
KHC
D
BK
JCI
LULU
CCI
PRU
IQV
KMI
A
NUE
LHX
DOW
CNC
HSY
KR
FIS
PWR
IDXX
CTVA
ODFL
CHTR
GIS
AME
CMI
HUM
YUM
FAST
PCG
MSCI
OTIS
SYY
EXC
CSGP
MLM
RCL
KVUE
ACGL
GEHC
FANG
IR
MPWR
PEG
NDAQ
VMC
LVS
EA
VRSK
DAL
IT
XYL
ED
CTSH
DD
HWM
HAL
LYB
GRMN
BIIB
DVN
BKR
RMD
ROK
DFS
PPG
FICO
VICI
XEL
ADM
EXR
ON
DG
CDW
HIG
TSCO
WAB
GLW
EFX
GPN
EIX
ANSS
HPQ
AVB
FTV
MTD
WST
CBRE
KEYS
RJF
DLTR
WEC
FITB
WTW
CHD
AWK
TTWO
EQR
ZBH
TROW
TRGP
EBAY
DOV
MTB
PHM
AXON
BLDR
NVR
BRO
CAH
VLTO
WDC
BR
ETR
DTE
APTV
ROL
WY
IFF
STT
IRM
FE
BF.B
HPE
NTAP
LYV
DECK
GPC
CPAY
BALL
ALGN
INVH
PTC
CTRA
STLD
ARE
ES
SBAC
HUBB
FSLR
PPL
STE
K
TSN
MKC
TYL
WRB
HBAN
MOH
AEE
WBD
PFG
CBOE
LDOS
HRL
VTR
WAT
ULTA
ILMN
STX
CNP
J
TER
BAX
SYF
TDY
CMS
CINF
CCL
COO
OMC
RF
DPZ
EQT
ATO
AVY
HOLX
CE
UAL
DRI
NTRS
CLX
L
JBHT
LH
VRSN
IEX
NRG
EXPD
FDS
TXT
EG
LUV
ESS
CFG
ZBRA
BBY
MAA
PKG
ENPH
NDSN
MAS
ALB
AKAM
DGX
MRO
WBA
FOX
FOXA
EXPE
SWKS
AMCR
BG
SNA
CAG
JBL
EPAM
KEY
POOL
NWS
NWSA
VTRS
TRMB
CF
PNR
AES
SWK
CPB
DOC
WRK
HST
LNT
NI
MGM
KIM
UDR
IP
RVTY
GEN
AOS
EVRG
PODD
BEN
LW
TAP
INCY
CRL
JKHY
DVA
SJM
TECH
LKQ
IPG
EMN
CPT
JNPR
SOLV
APA
WYNN
KMX
ALLE
REG
BBWI
RL
CTLT
UHS
PAYC
FFIV
HII
BXP
AAL
TFX
AIZ
MOS
QRVO
PARA
CHRW
DAY
TPR
HSIC
PNW
MTCH
HAS
FRT
BWA
GNRC
BIO
CZR
MKTX
GL
FMC
MHK
RHI
ETSY
CMA
NCLH
IVZ
